Transaction Date,Description,Amount,Currency
2017-12-13 00:00:00,JUNOON RESTRO GURGAON,1255.0,INR
2017-12-16 00:00:00,POONAM SERVICE STATION GURGAON,-17.0,INR
2017-12-16 00:00:00,KABI BESPOKE BOUTIQUE GURGAON,220.0,INR
2017-12-16 00:00:00,CLEARTRIP TRAVEL SERVIC MUMBAI,14849.0,INR
2017-12-21 00:00:00,INDIAN RAILWAY CATERINGNEW DELHI,1684.0,INR
2017-12-22 00:00:00,CLEARTRIP TRAVEL SERVIC MUMBAI,5205.0,INR
2017-12-22 00:00:00,MSW*BLISS HOSPITALITIE Delhi NCR,-3764.0,INR
2017-12-23 00:00:00,NIMITAYA HOTEL & RESOR GURGAON,3475.0,INR
2017-12-24 00:00:00,BIKANERVALA (GURGAON U) GURGAON,278.0,INR
2018-02-01 00:00:00,THAI CHI STREET GURGAON,987.0,INR
2018-02-01 00:00:00,AMAZON PAY BANGALORE,1875.0,INR
2018-04-01 00:00:00,SHAHEED MANOHAR LAL FIL GURGAON,-18.0,INR
2018-08-01 00:00:00,BIKANERVALA (GURGAON U) GURGAON,420.0,INR
2018-09-01 00:00:00,MOPS-SBC-CR-CARD-E MUMBAI,500000.0,INR
2017-12-12 00:00:00,SHOPPERS STOP LTD GURGAON,-2886.0,INR
2017-12-12 00:00:00,MORE MEGASTORE GURGAON,1500.0,INR
2017-12-13 00:00:00,SHAHEED MANOHAR LAL FIL  GURGAON,1968.0,INR
2017-12-13 00:00:00,LIVE PHARMACY GURGAON,627.0,INR
2018-03-01 00:00:00,SRILANKANUPGRADE KATUNAYAKE,10.0,EUR
2018-01-14 00:00:00,HEALTHGUARD LIMITED KATUNAYAKE,-8.0,USD
2018-01-14 00:00:00,FOOT RUB BERLIN,21.0,EUR
2018-01-20 00:00:00,California Games CALIFORNIA,101.0,USD
2018-01-30 00:00:00,NewYorkShop NEWYORK,-199.0,USD
2018-08-02 00:00:00,O WINGS DUSSELDOR,10.0,EUR
